temperatura,humidade,data,rega_necessaria_min
24.3,64.5,2025-05-18 15:00:00.000000,0
24.3,64.5,2025-05-18 15:00:02.000000,0
24.3,64.6,2025-05-18 15:00:04.000000,0
24.3,64.5,2025-05-18 15:00:06.000000,0
24.4,64.5,2025-05-18 15:00:08.000000,0
24.4,64.4,2025-05-18 15:00:10.000000,0
24.4,64.4,2025-05-18 15:00:12.000000,0
24.4,64.3,2025-05-18 15:00:14.000000,0
24.4,64.3,2025-05-18 15:00:16.000000,0
24.5,64.2,2025-05-18 15:00:18.000000,0
24.5,64.2,2025-05-18 15:00:20.000000,0
24.5,64.1,2025-05-18 15:00:22.000000,0
24.5,64.1,2025-05-18 15:00:24.000000,0
24.5,64.0,2025-05-18 15:00:26.000000,0
24.6,64.0,2025-05-18 15:00:28.000000,0
24.6,63.9,2025-05-18 15:00:30.000000,0
24.6,63.9,2025-05-18 15:00:32.000000,0
24.6,63.8,2025-05-18 15:00:34.000000,0
24.6,63.8,2025-05-18 15:00:36.000000,0
24.7,63.7,2025-05-18 15:00:38.000000,0
24.7,63.7,2025-05-18 15:00:40.000000,0
24.7,63.6,2025-05-18 15:00:42.000000,0
24.7,63.6,2025-05-18 15:00:44.000000,0
24.7,63.5,2025-05-18 15:00:46.000000,0
24.8,63.5,2025-05-18 15:00:48.000000,0
24.8,63.4,2025-05-18 15:00:50.000000,0
24.8,63.4,2025-05-18 15:00:52.000000,0
24.8,63.3,2025-05-18 15:00:54.000000,0
24.8,63.3,2025-05-18 15:00:56.000000,0
24.9,63.2,2025-05-18 15:00:58.000000,0
24.9,63.2,2025-05-18 15:01:00.000000,0
24.9,63.1,2025-05-18 15:01:02.000000,0
24.9,63.1,2025-05-18 15:01:04.000000,0
24.9,63.0,2025-05-18 15:01:06.000000,0
25.0,63.0,2025-05-18 15:01:08.000000,3
25.0,62.9,2025-05-18 15:01:10.000000,3
25.0,62.9,2025-05-18 15:01:12.000000,3
25.0,62.8,2025-05-18 15:01:14.000000,3
25.0,62.8,2025-05-18 15:01:16.000000,3
25.1,62.7,2025-05-18 15:01:18.000000,3
28.2,42.5,2025-05-18 16:00:00.000000,4
28.2,42.5,2025-05-18 16:00:02.000000,4
28.2,42.4,2025-05-18 16:00:04.000000,4
28.2,42.4,2025-05-18 16:00:06.000000,4
28.3,42.4,2025-05-18 16:00:08.000000,4
28.3,42.3,2025-05-18 16:00:10.000000,4
28.3,42.3,2025-05-18 16:00:12.000000,4
28.3,42.2,2025-05-18 16:00:14.000000,4
28.3,42.2,2025-05-18 16:00:16.000000,4
28.4,42.2,2025-05-18 16:00:18.000000,4
28.4,42.1,2025-05-18 16:00:20.000000,4
28.4,42.1,2025-05-18 16:00:22.000000,4
28.4,42.0,2025-05-18 16:00:24.000000,4
28.4,42.0,2025-05-18 16:00:26.000000,4
28.5,41.9,2025-05-18 16:00:28.000000,4
28.5,41.9,2025-05-18 16:00:30.000000,4
28.5,41.8,2025-05-18 16:00:32.000000,4
28.5,41.8,2025-05-18 16:00:34.000000,4
28.5,41.7,2025-05-18 16:00:36.000000,4
28.6,41.7,2025-05-18 16:00:38.000000,4
28.6,41.6,2025-05-18 16:00:40.000000,4
28.6,41.6,2025-05-18 16:00:42.000000,4
28.6,41.5,2025-05-18 16:00:44.000000,4
28.6,41.5,2025-05-18 16:00:46.000000,4
28.7,41.4,2025-05-18 16:00:48.000000,4
28.7,41.4,2025-05-18 16:00:50.000000,4
28.7,41.3,2025-05-18 16:00:52.000000,4
28.7,41.3,2025-05-18 16:00:54.000000,4
28.7,41.2,2025-05-18 16:00:56.000000,4
28.8,41.2,2025-05-18 16:00:58.000000,4
28.8,41.1,2025-05-18 16:01:00.000000,4
28.8,41.1,2025-05-18 16:01:02.000000,4
28.8,41.0,2025-05-18 16:01:04.000000,4
28.8,41.0,2025-05-18 16:01:06.000000,4
28.9,40.9,2025-05-18 16:01:08.000000,4
28.9,40.9,2025-05-18 16:01:10.000000,4
28.9,40.8,2025-05-18 16:01:12.000000,4
28.9,40.8,2025-05-18 16:01:14.000000,4
28.9,40.7,2025-05-18 16:01:16.000000,4
29.0,40.7,2025-05-18 16:01:18.000000,4
22.3,55.6,2025-05-18 17:00:00.000000,1
22.3,55.6,2025-05-18 17:00:02.000000,1
22.3,55.7,2025-05-18 17:00:04.000000,1
22.3,55.7,2025-05-18 17:00:06.000000,1
22.3,55.8,2025-05-18 17:00:08.000000,1
22.4,55.8,2025-05-18 17:00:10.000000,1
22.4,55.9,2025-05-18 17:00:12.000000,1
22.4,55.9,2025-05-18 17:00:14.000000,1
22.4,56.0,2025-05-18 17:00:16.000000,1
22.4,56.0,2025-05-18 17:00:18.000000,1
22.5,56.1,2025-05-18 17:00:20.000000,1
22.5,56.1,2025-05-18 17:00:22.000000,1
22.5,56.2,2025-05-18 17:00:24.000000,1
22.5,56.2,2025-05-18 17:00:26.000000,1
22.5,56.3,2025-05-18 17:00:28.000000,1
22.6,56.3,2025-05-18 17:00:30.000000,1
22.6,56.4,2025-05-18 17:00:32.000000,1
22.6,56.4,2025-05-18 17:00:34.000000,1
22.6,56.5,2025-05-18 17:00:36.000000,1
22.6,56.5,2025-05-18 17:00:38.000000,1
22.7,56.6,2025-05-18 17:00:40.000000,1
22.7,56.6,2025-05-18 17:00:42.000000,1
22.7,56.7,2025-05-18 17:00:44.000000,1
22.7,56.7,2025-05-18 17:00:46.000000,1
22.7,56.8,2025-05-18 17:00:48.000000,1
22.8,56.8,2025-05-18 17:00:50.000000,1
22.8,56.9,2025-05-18 17:00:52.000000,1
22.8,56.9,2025-05-18 17:00:54.000000,1
22.8,57.0,2025-05-18 17:00:56.000000,1
22.8,57.0,2025-05-18 17:00:58.000000,1
22.9,57.1,2025-05-18 17:01:00.000000,1
22.9,57.1,2025-05-18 17:01:02.000000,1
22.9,57.2,2025-05-18 17:01:04.000000,1
22.9,57.2,2025-05-18 17:01:06.000000,1
22.9,57.3,2025-05-18 17:01:08.000000,1
23.0,57.3,2025-05-18 17:01:10.000000,1
23.0,57.4,2025-05-18 17:01:12.000000,1
23.0,57.4,2025-05-18 17:01:14.000000,1
23.0,57.5,2025-05-18 17:01:16.000000,1
23.0,57.5,2025-05-18 17:01:18.000000,1
20.0,70.5,2025-05-18 18:00:00.000000,0
20.0,70.5,2025-05-18 18:00:02.000000,0
20.0,70.6,2025-05-18 18:00:04.000000,0
20.0,70.6,2025-05-18 18:00:06.000000,0
20.0,70.7,2025-05-18 18:00:08.000000,0
20.1,70.7,2025-05-18 18:00:10.000000,0
20.1,70.8,2025-05-18 18:00:12.000000,0
20.1,70.8,2025-05-18 18:00:14.000000,0
20.1,70.9,2025-05-18 18:00:16.000000,0
20.1,70.9,2025-05-18 18:00:18.000000,0
20.2,71.0,2025-05-18 18:00:20.000000,0
20.2,71.0,2025-05-18 18:00:22.000000,0
20.2,71.1,2025-05-18 18:00:24.000000,0
20.2,71.1,2025-05-18 18:00:26.000000,0
20.2,71.2,2025-05-18 18:00:28.000000,0
20.3,71.2,2025-05-18 18:00:30.000000,0
20.3,71.3,2025-05-18 18:00:32.000000,0
20.3,71.3,2025-05-18 18:00:34.000000,0
20.3,71.4,2025-05-18 18:00:36.000000,0
20.3,71.4,2025-05-18 18:00:38.000000,0
20.4,71.5,2025-05-18 18:00:40.000000,0
20.4,71.5,2025-05-18 18:00:42.000000,0
20.4,71.6,2025-05-18 18:00:44.000000,0
20.4,71.6,2025-05-18 18:00:46.000000,0
20.4,71.7,2025-05-18 18:00:48.000000,0
20.5,71.7,2025-05-18 18:00:50.000000,0
20.5,71.8,2025-05-18 18:00:52.000000,0
20.5,71.8,2025-05-18 18:00:54.000000,0
20.5,71.9,2025-05-18 18:00:56.000000,0
20.5,71.9,2025-05-18 18:00:58.000000,0
20.6,72.0,2025-05-18 18:01:00.000000,0
20.6,72.0,2025-05-18 18:01:02.000000,0
20.6,72.1,2025-05-18 18:01:04.000000,0
